task,n,pos_rate,accuracy,fp_rate,fn_rate,mean_kchi_dur,mean_n_children,pct_interaction
unknown,11,0.8181818181818182,0.18181818181818182,0.0,1.0,0.0,1.2727272727272727,0.6363636363636364
bookshare,9,0.7777777777777778,0.6666666666666666,0.5,0.2857142857142857,21.56,1.2222222222222223,0.6666666666666666
motorplay,96,0.65625,0.71875,0.24242424242424243,0.30158730158730157,2.523541666666667,1.4791666666666667,0.7916666666666666
other,43,0.6744186046511628,0.813953488372093,0.07142857142857142,0.2413793103448276,3.8911627906976745,1.3255813953488371,0.3488372093023256
specialoccasion,17,0.5294117647058824,0.8235294117647058,0.125,0.2222222222222222,6.402352941176471,1.7647058823529411,0.8823529411764706
generalsocialcommunicationinteraction,135,0.8296296296296296,0.837037037037037,0.21739130434782608,0.15178571428571427,8.004888888888887,1.2222222222222223,0.9407407407407408
toyplay,77,0.7402597402597403,0.8441558441558441,0.15,0.15789473684210525,5.830909090909091,1.103896103896104,0.7012987012987013
socialroutine,23,0.9565217391304348,0.8695652173913043,0.0,0.13636363636363635,13.829565217391304,1.1304347826086956,0.9565217391304348
dailyroutine,29,0.9310344827586207,0.9310344827586207,0.0,0.07407407407407407,4.589655172413794,1.1379310344827587,0.8275862068965517
generalsocialinteraction,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0
