feature,kind,coef,abs_coef
n_children_ge2,meta,-0.48871826720100264,0.48871826720100264
timepoint_is_36m,meta,0.3579212487076271,0.3579212487076271
n_adults_ge2,meta,-0.1850709911591048,0.1850709911591048
n_adults_int,meta,-0.047544625827992584,0.047544625827992584
n_children_int,meta,0.030567012737285577,0.030567012737285577
has_interaction,meta,-0.013379328567218598,0.013379328567218598
context_unknown,meta,0.0,0.0
whisper_mil_prob,score,3.0813271096499943,3.0813271096499943
babar_prob,score,1.8695267611277855,1.8695267611277855
vtc_kchi_prob,score,1.8695267611277855,1.8695267611277855
vtc_prob,score,1.6799901866019389,1.6799901866019389
sortformer_prob,score,0.9487517060442542,0.9487517060442542
wavlm_mil_prob,score,0.9274688353608097,0.9274688353608097
audio_llm_prob,score,0.6784813552398273,0.6784813552398273
pyannote_prob,score,0.35401202803218335,0.35401202803218335
usc_sail_prob,score,0.3000320278624046,0.3000320278624046
vbx_prob,score,0.19014838826520417,0.19014838826520417
eend_eda_prob,score,0.1623592662118491,0.1623592662118491
